"alpha","lambda","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.1,4.81784424850852e-06,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,5.27784602936508e-06,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,5.78176820853189e-06,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,6.33380425105193e-06,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,6.93854800879851e-06,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,7.60103194891222e-06,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,8.32676903224149e-06,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,9.12179859028462e-06,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,9.99273658240523e-06,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,1.09468306515441e-05,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,1.19920204365822e-05,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,1.31370036432527e-05,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,1.4391308423422e-05,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,1.57653726650545e-05,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,1.72706308526843e-05,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,1.89196092212171e-05,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,2.07260299948992e-05,0.0271130016223582,0.627654014237053,0.0155351544431331,0.00471054959600427,0.0493054999806491,0.000950075696546575
0.1,2.27049255788923e-05,0.0271186657497701,0.627489113373249,0.0155378557314218,0.00471531504530704,0.0493656497784821,0.000953255787030151
0.1,2.487276365372e-05,0.0271219855354385,0.627288747830338,0.0155384022279029,0.00472919445398356,0.0495854391239049,0.000956584936284687
0.1,2.72475842135747e-05,0.0271246585812969,0.627103745612532,0.0155384531226528,0.00474568580073314,0.0498318421494136,0.000962628595319798
0.1,2.98491496888728e-05,0.0271274744895052,0.626917543712254,0.0155388543243075,0.0047630189252604,0.0500951537212035,0.000968728457091041
0.1,3.26991094023248e-05,0.0271325310020267,0.626668758159327,0.0155419264117445,0.00478104544924439,0.0503821602939549,0.000976161851295267
0.1,3.5821179727066e-05,0.0271356473884464,0.626469434382381,0.0155427866254768,0.0047996858605773,0.0507089052114721,0.000984635357013526
0.1,3.92413414460619e-05,0.0271385832165154,0.626263403468198,0.0155446956731978,0.00482008910987762,0.0510442194414606,0.000994254418607283
0.1,4.29880559551449e-05,0.0271411609543719,0.626057498041871,0.0155483424122414,0.00484287114217387,0.0514479703658015,0.00100536302414254
0.1,4.70925021088474e-05,0.0271477887882897,0.625773194660806,0.0155514405218099,0.00486007993012759,0.0517756567895786,0.00101331906182804
0.1,5.15888356799809e-05,0.0271543048060999,0.625495503389673,0.0155540329518765,0.00487602487115592,0.0520982446530147,0.00102093882264647
0.1,5.65144735920937e-05,0.0271633495549673,0.625143799327458,0.0155600019201258,0.00489504570264185,0.0524373264107067,0.00103102741821259
0.1,6.19104052900896e-05,0.0271634728402605,0.624999346876051,0.0155606804743824,0.00491629226660235,0.0528670290748382,0.0010395121476073
0.1,6.78215338401272e-05,0.0271734182560973,0.624627925647456,0.0155678325064791,0.00493455213041329,0.0532780080834151,0.00104824663648917
0.1,7.42970495973127e-05,0.0271742302346354,0.624482669432128,0.0155706934638379,0.00495087262642828,0.0536561637506106,0.00105445940629725
0.1,8.13908395507203e-05,0.027180866804772,0.624183648740674,0.0155778310431893,0.00496995641118347,0.0541204465762994,0.0010637987028541
0.1,8.91619357521662e-05,0.0271820852206246,0.624022787063441,0.0155811668303183,0.00498806260913285,0.0545066289111712,0.00106940793791541
0.1,9.76750065604043e-05,0.0271878297421974,0.623745493218057,0.0155869647424992,0.00500629999022965,0.0549446252526709,0.00107778425497948
0.1,0.000107000894788707,0.0271884665831551,0.623597483103289,0.0155885594307647,0.00502130883914034,0.0552636297190588,0.00108119395893206
0.1,0.00011721720723411,0.0271902562931778,0.623433760914715,0.0155903187041038,0.00503606516148135,0.0556169856993876,0.00108483853447372
0.1,0.000128408960494174,0.0271902969105243,0.623316914935769,0.0155917522378417,0.00505280865258535,0.0559508274777087,0.00108890655382392
0.1,0.000140669288445528,0.0271904004370355,0.62319128062034,0.0155913143913767,0.00506763016160115,0.0563182599658954,0.00109137756625042
0.1,0.00015410021727159,0.0271942490935632,0.622980184709663,0.0155922557009695,0.00508034058508334,0.0566441444838278,0.00109511956146358
0.1,0.000168813514488963,0.0271989066164797,0.622747902342441,0.0155934375901065,0.00508824093241878,0.0568929970173783,0.00109635767881005
0.1,0.000184931619037822,0.0272048981690185,0.622485990919848,0.0155949741940169,0.00509669156284742,0.0570750387971229,0.00110023241214491
0.1,0.000202588660176173,0.0272099903921094,0.622227507619789,0.0155963616077764,0.00510481235244554,0.05729804954013,0.00110268079825382
0.1,0.000221931573656873,0.0272190973440217,0.621886047020072,0.0155986315856114,0.0051126633441728,0.0573814269623724,0.00110654999310558
0.1,0.000243121324475834,0.027225759635803,0.621597406771304,0.0155999617517141,0.0051187872008288,0.057476228408046,0.00111053285765971
0.1,0.000266334246366722,0.0272352099861478,0.621233196965369,0.015602000215947,0.00512610648825635,0.0575207862535705,0.0011162287908786
0.1,0.00029176350918893,0.0272425698750709,0.62091373789038,0.0156028007749351,0.0051319260966076,0.057580422360099,0.00111864316453925
0.1,0.000319620726419938,0.0272497765112355,0.620605502015746,0.0156015521344669,0.00513816902940017,0.0576376980948655,0.00112157583141536
0.1,0.000350137716129051,0.0272579967388546,0.620276629638738,0.0155988166477912,0.00514530209869178,0.0577147074763132,0.00112349652048132
0.1,0.000383568430086705,0.0272648780979397,0.619985982415196,0.0155916735141536,0.00515203027179679,0.057744541084903,0.00112440337892893
0.1,0.000420191067062747,0.027270485993306,0.619725628148061,0.0155795578683011,0.0051573002861828,0.057747048055418,0.00112618748141949
0.1,0.000460310387899804,0.0272763453191619,0.619449605233412,0.0155645770699031,0.00516318795986056,0.0577351076023852,0.00112844361627478
0.1,0.000504260251626976,0.0272820162875118,0.619169905008853,0.0155467412996578,0.00516941895497869,0.057671648203437,0.00113035356587851
0.1,0.000552406393718514,0.0272873741737758,0.618898765748036,0.0155276028484335,0.00517876377177336,0.0576465617610596,0.00113311962705716
0.1,0.000605149469617187,0.0272929603544609,0.6186276178082,0.0155065383758698,0.00519155148337386,0.0576173776378724,0.00113796160864458
0.1,0.000662928388849474,0.0272982492157913,0.61836947102977,0.0154859323548399,0.00520749754394389,0.0576038788809426,0.00114555192351951
0.1,0.000726223967477932,0.0273020759646085,0.618143516225256,0.015463005210892,0.0052241100924446,0.0575902050264436,0.00115217783206861
0.1,0.000795562929285173,0.0273052990292295,0.617947614880147,0.0154383885250729,0.00524252643732912,0.0576131021953663,0.00115781954456134
0.1,0.000871522288985923,0.0273084994530493,0.617761161215314,0.0154090112666667,0.00526515978171969,0.0576827193298725,0.00116465907911595
0.1,0.000954734153942708,0.0273135880366254,0.617529585467647,0.0153774173107627,0.00529034176782285,0.0577453847853225,0.0011731695597222
0.1,0.0010458909843434,0.0273194034915806,0.617277913709457,0.0153445306322388,0.00531738514306156,0.0578089757657041,0.00118205702200584
0.1,0.00114575135561396,0.0273246375634147,0.617055269005471,0.015309530312726,0.00534622239553272,0.0578817235406465,0.00119463387449569
0.1,0.00125514627101921,0.0273312219803969,0.616809644410112,0.0152707547742308,0.00537711750615275,0.0579410615634015,0.00120663663697324
0.1,0.00137498607698285,0.0273419792579728,0.616469719360002,0.0152324270381606,0.00541059040350718,0.0580250624437648,0.00121585000807998
0.1,0.00150626803867368,0.0273536826722669,0.616123359229,0.0151940155583391,0.00544627816227478,0.058142713214809,0.00122418824188054
0.1,0.00165008463889934,0.0273687235996151,0.615686984588347,0.0151560217288066,0.0054840968159578,0.058267257951262,0.00123493681435607
0.1,0.0018076326693681,0.0273879016968775,0.615144841717587,0.015117538748122,0.00552500403982645,0.0584241764879515,0.00124742892855345
0.1,0.00198022318997309,0.0274113600847104,0.614504743375712,0.0150821417400091,0.00557055446347559,0.0586331025131364,0.00126023306084909
0.1,0.00216929243897653,0.0274385438795451,0.613790018433335,0.0150478574046588,0.00562109785195688,0.0589070553110987,0.00127528853935892
0.1,0.00237641378488489,0.0274720678965442,0.612914493500904,0.0150163786343035,0.00567290991636547,0.0591885684713468,0.00129254605979376
0.1,0.00260331081947407,0.0275094638631221,0.611958270545748,0.0149867817614379,0.00572462174514219,0.0594922891323319,0.00131354391669807
0.1,0.00285187170092057,0.0275524706131356,0.610881652617897,0.0149589568756254,0.00577457960260098,0.0597612943592622,0.00133488501588604
0.1,0.00312416486639682,0.0276037920371622,0.609579400929274,0.0149353314835516,0.00582284534847452,0.059986949175612,0.00135626601213342
0.1,0.00342245624488564,0.027664741292506,0.608016745957565,0.0149216767851999,0.005875391506082,0.060371985123874,0.00138408163977805
0.1,0.00374922811345289,0.0277351269127213,0.606209833046942,0.0149146191159816,0.00593245941001878,0.0609067963989336,0.00141706056798102
0.1,0.00410719975389347,0.0278137922764207,0.604195877293144,0.0149139710802285,0.00599174347799652,0.0614790939652751,0.00145706181092694
0.1,0.00449935008164837,0.0278990005868687,0.602045185973851,0.014921299424922,0.00605507495512964,0.0621329035243186,0.00150013707165817
0.1,0.00492894243530241,0.0279945224477682,0.599633208478111,0.0149340402422406,0.00612041668372561,0.0628198426522759,0.00154774892661755
0.1,0.00539955173295261,0.0280967963359331,0.597073987615314,0.0149523343186343,0.00618359286693278,0.0635224510466336,0.00159482352535547
0.1,0.00591509422143265,0.0282002060808463,0.594530282473632,0.0149789068003407,0.00624303751008315,0.0642139525128682,0.00164171558938616
0.1,0.00647986006595653,0.0283107767294476,0.591842573933546,0.0150162389526183,0.00629974846697423,0.0647718026447264,0.00168650161407082
0.1,0.00709854905138069,0.0284355132341504,0.588777895189836,0.0150708244323049,0.00635591797806851,0.0653935579210009,0.00173101350257652
0.1,0.00777630969217842,0.0285742257536171,0.585343637119,0.0151357723280004,0.0064152782107703,0.0661584164731946,0.00177761289898319
0.1,0.00851878207658596,0.0287310955768248,0.581407456051596,0.0152204126862061,0.00647390671752689,0.0669650437276848,0.00182526458369223
0.1,0.00933214480145438,0.0288954784017129,0.577306844765877,0.0153186736174558,0.00652870963737395,0.0677331490314502,0.00187672642553201
0.1,0.0102231663883829,0.0290653857120424,0.573130717035856,0.0154277447745625,0.00657875361386108,0.0685348898554382,0.00192394568973012
0.1,0.0111992616090005,0.0292442681243105,0.568773263465448,0.0155480463715649,0.00662176294401069,0.0692269237922229,0.00196608929485988
0.1,0.0122685531881157,0.0294197840442247,0.56466920438903,0.0156717852365129,0.00665896235226412,0.069678629186211,0.00199794501425277
0.1,0.0134399393982062,0.0295918981629712,0.560887055058901,0.0158046463659077,0.00669480828524691,0.0699030560513205,0.00202767781742444
