"sigma","C","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.00576176916790734,0.25,0.03379513942097,0.846014351381256,0.0180743887203789,0.00467016453234045,0.034148225065028,0.00221787711389412
0.00576176916790734,0.5,0.0306997375366413,0.867068736076687,0.0164543079440339,0.00412820392612019,0.0333215592565472,0.00190734704782679
0.00576176916790734,1,0.0288528264848222,0.879623171895683,0.0156645135714323,0.00374221700904614,0.0295662154270722,0.00166816941020125
0.00576176916790734,2,0.0278175590281879,0.886134369663209,0.0154919140477175,0.00362656236146983,0.0279413909632033,0.00157689937054464
0.00576176916790734,4,0.0278709520662595,0.885142872503457,0.0158408556939847,0.00342691203108844,0.025125722346858,0.00145729688428355
0.00576176916790734,8,0.0282566611841629,0.881607825461763,0.0162679041657289,0.00336645365194153,0.0252502965421413,0.00145120701827929
0.00576176916790734,16,0.0290116152673489,0.874979565552261,0.016893865208044,0.00359014548383902,0.0295780612226666,0.00135931330730827
0.00576176916790734,32,0.0295176946758032,0.870773287873025,0.0172407346817045,0.00358610159278447,0.0296603708825436,0.00134004601334708
0.00576176916790734,64,0.0297498946108471,0.868737329468988,0.0174974801818241,0.00358804128682165,0.0295678840555239,0.00133898969513041
0.00576176916790734,128,0.0298396744389769,0.867986630379852,0.0175997115719558,0.00355966914837108,0.0292942071378551,0.00133247971452448
0.00576176916790734,256,0.0298396744389769,0.867986630379852,0.0175997115719558,0.00355966914837108,0.0292942071378551,0.00133247971452448
0.00576176916790734,512,0.0298396744389769,0.867986630379852,0.0175997115719558,0.00355966914837108,0.0292942071378551,0.00133247971452448
0.00576176916790734,1024,0.0298396744389769,0.867986630379852,0.0175997115719558,0.00355966914837108,0.0292942071378551,0.00133247971452448
0.00576176916790734,2048,0.0298396744389769,0.867986630379852,0.0175997115719558,0.00355966914837108,0.0292942071378551,0.00133247971452448
0.00576176916790734,4096,0.0298396744389769,0.867986630379852,0.0175997115719558,0.00355966914837108,0.0292942071378551,0.00133247971452448
0.00576176916790734,8192,0.0298396744389769,0.867986630379852,0.0175997115719558,0.00355966914837108,0.0292942071378551,0.00133247971452448
0.00576176916790734,16384,0.0298396744389769,0.867986630379852,0.0175997115719558,0.00355966914837108,0.0292942071378551,0.00133247971452448
0.00576176916790734,32768,0.0298396744389769,0.867986630379852,0.0175997115719558,0.00355966914837108,0.0292942071378551,0.00133247971452448
0.00576176916790734,65536,0.0298396744389769,0.867986630379852,0.0175997115719558,0.00355966914837108,0.0292942071378551,0.00133247971452448
0.00576176916790734,131072,0.0298396744389769,0.867986630379852,0.0175997115719558,0.00355966914837108,0.0292942071378551,0.00133247971452448
