"alpha","lambda","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.1,1.63110058878789e-05,0.0199243944727222,0.798597030826214,0.0111623042888561,0.00550484499730971,0.0618393662778239,0.00137674213886684
0.1,1.78683604574686e-05,0.0199243944727222,0.798597030826214,0.0111623042888561,0.00550484499730971,0.0618393662778239,0.00137674213886684
0.1,1.95744093057616e-05,0.0199243944727222,0.798597030826214,0.0111623042888561,0.00550484499730971,0.0618393662778239,0.00137674213886684
0.1,2.14433495776795e-05,0.0199243944727222,0.798597030826214,0.0111623042888561,0.00550484499730971,0.0618393662778239,0.00137674213886684
0.1,2.3490733943896e-05,0.0199243944727222,0.798597030826214,0.0111623042888561,0.00550484499730971,0.0618393662778239,0.00137674213886684
0.1,2.57336000247506e-05,0.0199243944727222,0.798597030826214,0.0111623042888561,0.00550484499730971,0.0618393662778239,0.00137674213886684
0.1,2.81906121713969e-05,0.0199236333763125,0.798610530031275,0.0111618702662981,0.00550572397582469,0.061854471358036,0.00137723657600994
0.1,3.08822167840396e-05,0.0199191815973579,0.798689434009718,0.0111592904935572,0.00551088351372624,0.0619432766462043,0.00138019995587065
0.1,3.38308124597621e-05,0.0199143534808729,0.798774912492094,0.0111563699697387,0.00551650853829881,0.0620402570424777,0.00138359755747429
0.1,3.70609363858589e-05,0.0199117278627503,0.798821066251854,0.0111546288884676,0.0055194703063941,0.0620911212949561,0.00138553102705233
0.1,4.05994685297705e-05,0.0199089406806685,0.798868851381365,0.0111525532745644,0.0055218547080486,0.0621315228937401,0.00138702999702911
0.1,4.44758553248202e-05,0.0199057487715317,0.79892321623377,0.0111501380161373,0.00552324023761742,0.0621557497825757,0.00138795836004992
0.1,4.87223547131866e-05,0.0199027547507108,0.798970386234262,0.011147898539599,0.00552461819409566,0.0621913670183559,0.00138891668850441
0.1,5.33743045852751e-05,0.0198971250106409,0.79907246826638,0.0111441165463787,0.00552298940293584,0.0622018340050822,0.00138682345833846
0.1,5.84704168493459e-05,0.0198926816640926,0.799150888098644,0.0111417603258732,0.00552238307612414,0.0622319963755551,0.0013861711038621
0.1,6.40530995785461e-05,0.0198850794571902,0.799292906471366,0.0111367955380807,0.00552524703523192,0.0623189920169751,0.00138763960374334
0.1,7.01688099161386e-05,0.0198815216927338,0.799333516264108,0.0111349206150174,0.00552392486791438,0.0623252198508948,0.00138743244631457
0.1,7.68684406756847e-05,0.0198745384644396,0.799445082233505,0.0111305303998163,0.00552520889654033,0.062373032772725,0.00138995267983115
0.1,8.42077438533307e-05,0.0198684647519517,0.799554404115309,0.0111267847521933,0.00552563539936271,0.06242634835507,0.00139071190906076
0.1,9.22477945765224e-05,0.0198636957137522,0.799639467303432,0.0111245858755255,0.00552311059908234,0.0623972866642783,0.00139107225224537
0.1,0.000101055499349965,0.0198595716715641,0.799718847633985,0.0111249686347914,0.00551974657836434,0.0623191134764566,0.00139295005733763
0.1,0.000110704152828276,0.0198578601191344,0.799750839274412,0.0111256863171611,0.00551767978085653,0.06229801455839,0.00139317020383696
0.1,0.000121274047748601,0.0198543816398675,0.799826665551022,0.0111245099346429,0.00551611672044181,0.0622630994884395,0.00139547996102168
0.1,0.000132853143098831,0.0198512800031292,0.799882374339253,0.0111217826604497,0.00551391518358979,0.0622399283238096,0.00139633184149233
0.1,0.000145537796081703,0.0198470807118444,0.799963080499066,0.0111171748986412,0.00551120645906457,0.0621982784899638,0.00139870517609744
