"sigma","C","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.00582805977053455,0.25,0.0251758560249539,0.710907210843738,0.010453085708302,0.00644601811364432,0.0604354342703556,0.00171506738149771
0.00582805977053455,0.5,0.0228336010628421,0.759486098124969,0.0095223614538166,0.00611287424364815,0.0593251459252514,0.00152814055232792
0.00582805977053455,1,0.0210871579262558,0.790062138509028,0.00905466748681258,0.00573022218799177,0.0557317803294636,0.00132208359204712
0.00582805977053455,2,0.0199495674739536,0.807046840223062,0.00886885078810426,0.00533608538139333,0.0559284902950618,0.00109128315575362
0.00582805977053455,4,0.0192498918840438,0.81365180419617,0.00892141675326885,0.0048783610566798,0.0627595229020487,0.00102861328163533
0.00582805977053455,8,0.0189194557550036,0.813354995896093,0.00904749013373557,0.00449014272545835,0.0662973735301014,0.000975186049435341
0.00582805977053455,16,0.0189689220842249,0.810490380175128,0.00922513804081967,0.00417274607209671,0.0630248489531309,0.000996919516553874
0.00582805977053455,32,0.0195368978592517,0.800282902339956,0.00947689215174812,0.00438293652135109,0.0682896722888938,0.00108212877274745
0.00582805977053455,64,0.0206539684283146,0.781259371468635,0.00999522821558223,0.00472782708096965,0.0699292280812677,0.00115574710442373
0.00582805977053455,128,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,256,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,512,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1024,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,2048,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,4096,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,8192,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,16384,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,32768,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,65536,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,131072,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,262144,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,524288,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,1048576,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,2097152,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,4194304,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,8388608,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,16777216,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,33554432,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,67108864,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
0.00582805977053455,134217728,0.0208339878299112,0.777757526235005,0.0101232443124327,0.00469924309495501,0.0700643943121479,0.00116740347742155
